# time_s wind_ms x1_blade_m x2_tower_m
6.800000000000000488e-01 1.032499999999999929e+01 1.034707994447201962e+00 8.394177009585537808e-02
6.899999999999999467e-01 1.034699999999999953e+01 1.045796982012048959e+00 8.804191517649562204e-02
6.999999999999999556e-01 1.036599999999999966e+01 1.056395831237507688e+00 9.225732038402970070e-02
7.099999999999999645e-01 1.038199999999999967e+01 1.066506533804411960e+00 9.658764445224940487e-02
7.199999999999999734e-01 1.039199999999999946e+01 1.076132472000086882e+00 1.010323922889621584e-01
7.299999999999999822e-01 1.039600000000000080e+01 1.085278418718346849e+00 1.055909149759909071e-01
7.399999999999999911e-01 1.039600000000000080e+01 1.093950537459496886e+00 1.102624097691741467e-01
7.500000000000000000e-01 1.039100000000000001e+01 1.102156382330332640e+00 1.150459200983658670e-01
7.600000000000000089e-01 1.038299999999999912e+01 1.109904898044139054e+00 1.199403355674356630e-01
7.700000000000000178e-01 1.037299999999999933e+01 1.117206419920692140e+00 1.249443919542686521e-01
7.800000000000000266e-01 1.036200000000000010e+01 1.124072673886257867e+00 1.300566712107654732e-01
7.900000000000000355e-01 1.035299999999999976e+01 1.130516776473591944e+00 1.352756014628422876e-01
8.000000000000000444e-01 1.034600000000000009e+01 1.136553234821941372e+00 1.405994570104308616e-01
8.100000000000000533e-01 1.034200000000000053e+01 1.142196455846611780e+00 1.460264338659340300e-01
8.199999999999999512e-01 1.033999999999999986e+01 1.147434090551041841e+00 1.515560183027814256e-01
8.299999999999999600e-01 1.034099999999999930e+01 1.152265123514730094e+00 1.571870855070413020e-01
8.399999999999999689e-01 1.034399999999999942e+01 1.156697979532617326e+00 1.629179643401245936e-01
8.499999999999999778e-01 1.034699999999999953e+01 1.160741390200798806e+00 1.687468948517129030e-01
8.599999999999999867e-01 1.034900000000000020e+01 1.164404393916523617e+00 1.746720282797584733e-01
8.699999999999999956e-01 1.034999999999999964e+01 1.167696335878194880e+00 1.806914270504842712e-01
8.800000000000000044e-01 1.034699999999999953e+01 1.170626868085370198e+00 1.868030647783838760e-01
8.900000000000000133e-01 1.034099999999999930e+01 1.173205949338760989e+00 1.930048262662214520e-01
9.000000000000000222e-01 1.033099999999999952e+01 1.175443845240232710e+00 1.992945075050319703e-01
9.100000000000000311e-01 1.031700000000000017e+01 1.177351128192805074e+00 2.056698156741208761e-01
9.200000000000000400e-01 1.030000000000000071e+01 1.178938677400651835e+00 2.121283691410644212e-01
9.300000000000000488e-01 1.028100000000000058e+01 1.180217678869100784e+00 2.186676974617093872e-01
9.399999999999999467e-01 1.026200000000000045e+01 1.181199625404633968e+00 2.252852413801733067e-01
